title,link,keyword,source,clean_title,tokens,label
빌라 122채 사들여 50억원 가로챈 전세사기 일당 송치,https://n.news.naver.com/mnews/article/005/0001774530?sid=102,허위매물,naver,빌라 122채 사들여 50억원 가로챈 전세사기 일당 송치,"['빌라', '122', '채', '사들여', '50억원', '가로', '챈', '전세', '사기', '일당', '송치']",0
진주시 부동산 불법 중개행위 합동지도 단속 펼쳐,http://www.gndomin.com/news/articleView.html?idxno=433065,허위매물,naver,진주시 부동산 불법 중개행위 합동지도 단속 펼쳐,"['진주시', '부동산', '불법', '중개', '행위', '합동', '지도', '단속', '펼쳐']",2
대통령실 이전 공약에 세종 아파트값 상승률 지속,https://www.joongdo.co.kr/web/view.php?key=20250510010002619,서울 집값,naver,대통령실 이전 공약에 세종 아파트값 상승률 지속,"['대통령실', '이전', '공약', '세종', '아파트', '값', '상', '승률', '지속']",1
갭투자에 임차인 명의 대출받아 160억 원 챙긴 전세사기범 구속 송치,https://n.news.naver.com/mnews/article/056/0011946948?sid=102,갭투자,naver,갭투자에 임차인 명의 대출받아 160억 원 챙긴 전세사기범 구속 송치,"['갭', '투자', '임차', '인', '명의', '대출받아', '160억', '원', '챙긴', '전', '세', '사', '기범', '구속', '송치']",0
이달 서울 아파트 상승 거래 올해 들어 첫 감소,https://n.news.naver.com/mnews/article/422/0000735042?sid=101,단기 급등 지역,naver,이달 서울 아파트 상승 거래 올해 들어 첫 감소,"['달', '서울', '아파트', '상승', '거래', '올해', '들어', '첫', '감소']",1
송파 아파트값 88개월만에 용산 추월,https://n.news.naver.com/mnews/article/016/0002458767?sid=101,한남더힐,naver,송파 아파트값 88개월만에 용산 추월,"['송파', '아파트', '값', '88', '개월', '만에', '용산', '추월']",2
한남더힐 109억짜리 전액 현금구매 사례 등장,https://n.news.naver.com/mnews/article/031/0000924464?sid=101,한남더힐,naver,한남더힐 109억짜리 전액 현금구매 사례 등장,"['한남', '더힐', '109억', '짜리', '전액', '현금', '구매', '사례', '등장']",2
5월 전국 2만 3197가구 분양,https://n.news.naver.com/mnews/article/421/0008242785?sid=101,힐스테이트,naver,5월 전국 2만 3197가구 분양,"['5월', '전국', '2만', '3197', '가구', '분양']",2
분양시장 회복 기대감,https://n.news.naver.com/mnews/article/421/0008242784?sid=101,힐스테이트,naver,분양시장 회복 기대감,"['분양', '시장', '회복', '기', '대감']",1
아파트 분양시장 회복 기대감,https://n.news.naver.com/mnews/article/421/0008242776?sid=101,힐스테이트,naver,아파트 분양시장 회복 기대감,"['아파트', '분양', '시장', '회복', '기', '대감']",1
5월 12일 개장 전 주요공시,http://www.seoulfn.com/news/articleView.html?idxno=556764,자이,naver,5월 12일 개장 전 주요공시,"['5월', '12일', '개장', '전', '주요', '공시']",2
영덕 산불 피해 복구에 3700억 원 투입,http://www.phmbc.co.kr/www/news/desk_news?idx=195998&mode=view,도시재생,naver,영덕 산불 피해 복구에 3700억 원 투입,"['영덕', '산불', '피해', '복구', '3700억', '원', '투입']",0
보은군 원도심활성화 도시재생 밑그림완성,https://n.news.naver.com/mnews/article/656/0000131769?sid=102,도시재생,naver,보은군 원도심활성화 도시재생 밑그림완성,"['보은군', '원', '도심', '활성화', '도시재생', '밑그림', '완성']",2
